dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
walmart,outer_1,pilot,4,5,3,1287.0,,,0.0167852431032168,311019655139.23883,0.0084774494171142,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,1287.0,2,4.0,8.0,
walmart,outer_1,pilot,4,5,3,643.0,,,0.0167852431032168,311019655139.2389,0.0082206726074218,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,643.0,3,9.0,18.0,
walmart,outer_1,pilot,4,5,3,321.0,,,0.0167852431032168,311019655139.2389,0.0085601806640625,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,321.0,4,17.0,34.0,
walmart,outer_1,pilot,4,5,3,160.0,,,0.0167852431032168,311019655139.23883,0.0081052780151367,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,160.0,5,33.0,66.0,
walmart,outer_1,pilot,4,5,3,80.0,,,0.0167852431032168,311019655139.23883,0.0085911750793457,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,80.0,6,65.0,130.0,
walmart,outer_1,pilot,4,5,3,64.0,,,0.0167852431032168,311019655139.2389,0.0081501007080078,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,64.0,7,81.0,162.0,
walmart,outer_1,pilot,4,5,3,32.0,,,0.0167852431032168,311019655139.2389,0.0087049007415771,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,32.0,8,161.0,322.0,
walmart,outer_1,pilot,4,5,3,24.0,,,0.0167852431032168,311019655139.2389,0.008894920349121,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,24.0,9,215.0,430.0,
walmart,outer_1,pilot,4,5,3,20.0,,,0.0167852431032168,311019655139.23883,0.0084366798400878,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,20.0,10,258.0,516.0,
walmart,outer_1,pilot,4,5,3,16.0,,,0.0167852431032168,311019655139.2389,0.0081400871276855,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,16.0,11,322.0,644.0,
walmart,outer_1,pilot,4,5,3,14.0,,,0.0167852431032168,311019655139.2389,0.0081725120544433,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,14.0,12,368.0,736.0,
walmart,outer_1,pilot,4,5,3,12.0,,,0.0167852431032168,311019655139.2389,0.0081245899200439,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,12.0,13,429.0,858.0,
walmart,outer_1,pilot,4,5,3,10.0,,,0.0167852431032168,311019655139.23883,0.0081307888031005,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,10.0,14,515.0,1030.0,
walmart,outer_1,pilot,4,5,3,8.0,,,0.0167852431032168,311019655139.2389,0.0084979534149169,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,8.0,15,644.0,1288.0,
walmart,outer_1,pilot,4,5,3,6.0,,,0.0167852431032168,311019655139.2389,0.0085363388061523,310348950876.0935,0.0195622409737885,316505041222.5034,0.0287361038696545,1.0,6.0,16,858.0,1716.0,
