dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
optical_net,outer_1,greedy,4,0.03,0.0001,3,504,quantile,0,0.8298805276609221,0.0070250366580753,3.9205393288962633,0.0053787231445312,0.0039136812349429,0.904972836744428,0.0052241934617624,0.8779299442746037,3.0,full
optical_net,outer_1,greedy,4,0.03,1e-05,3,504,quantile,0,0.8246221382271698,0.0072377211545817,3.8220389142151214,0.005359411239624,0.0038450020660901,0.9066404193090368,0.0052049748697995,0.8783790116012724,3.0,full
optical_net,outer_1,greedy,4,0.01,0.1,3,504,quantile,0,0.7712025246543818,0.0093368712402679,5.698373189155616,0.0066437721252441,0.0072468664509702,0.8240405592619194,0.0075356981448696,0.8239186394594847,6.0,full
optical_net,outer_1,greedy,4,0.01,0.01,3,504,quantile,0,0.8434721377217635,0.0063735301169378,4.039858681703553,0.0066790580749511,0.0051308497801616,0.8754190567831597,0.0049108263817067,0.8852521725199561,4.0,full
optical_net,outer_1,greedy,4,0.01,0.001,3,504,quantile,0,0.8625488400350841,0.0056723792647775,2.8185182049442608,0.0070371627807617,0.0027882561179315,0.932299016345186,0.0026663531470392,0.9376972006061856,5.0,full
optical_net,outer_1,greedy,4,0.01,0.0001,3,504,quantile,0,0.8936846906691439,0.0043781477060735,2.275772583777857,0.006753921508789,0.0022388264819266,0.945639586663464,0.0021452345651144,0.949873812134971,5.0,full
optical_net,outer_1,greedy,4,0.01,1e-05,3,504,quantile,0,0.6104613186733366,0.0165119307196372,2.1495547288579773,0.0067596435546875,0.0021676256365051,0.9473683974570952,0.0020761758167115,0.9514874593567976,5.0,full
optical_net,outer_1,greedy,4,0.008,0.1,3,504,quantile,0,0.7712025246543818,0.0093368712402679,5.449287103682607,0.0066092014312744,0.0072468664509702,0.8240405592619194,0.0075356981448696,0.8239186394594847,6.0,full
optical_net,outer_1,greedy,4,0.008,0.01,3,504,quantile,0,0.8433516179598488,0.0063786993649394,3.834878334974629,0.0066983699798583,0.0043534121458932,0.8942958350790118,0.0036879483501983,0.9138263037316352,6.0,full
optical_net,outer_1,greedy,4,0.008,0.001,3,504,quantile,0,0.8944672129342294,0.0043291759681906,2.610946467050087,0.0070228576660156,0.0027882561179315,0.932299016345186,0.0026663531470392,0.9376972006061856,5.0,full
optical_net,outer_1,greedy,4,0.008,0.0001,3,504,quantile,0,0.8936846906691439,0.0043781477060735,2.068200845883683,0.0067462921142578,0.0022388264819266,0.945639586663464,0.0021452345651144,0.949873812134971,5.0,full
optical_net,outer_1,greedy,4,0.008,1e-05,3,504,quantile,0,0.6135190455906726,0.0163919513372042,1.913238261955773,0.0067589282989501,0.001750128016491,0.9575055578731432,0.0069669077857732,0.837209163889554,6.0,full
optical_net,outer_1,greedy,4,0.005,0.1,3,504,quantile,0,0.7712025246543818,0.0093368712402679,5.075657975473095,0.0067098140716552,0.0072468664509702,0.8240405592619194,0.0075356981448696,0.8239186394594847,6.0,full
optical_net,outer_1,greedy,4,0.005,0.01,3,504,quantile,0,0.8440125158428661,0.0063516010226497,3.4612492067651166,0.0067570209503173,0.0043534121458932,0.8942958350790118,0.0036879483501983,0.9138263037316352,6.0,full
optical_net,outer_1,greedy,4,0.005,0.001,3,504,quantile,0,0.8961215683309423,0.0042582185318963,2.249907853551329,0.0070283412933349,0.0022032383678005,0.9465036931984628,0.0024439654413488,0.9428935777742522,7.0,full
optical_net,outer_1,greedy,4,0.005,0.0001,3,504,quantile,0,0.8988312028643496,0.0041695169454433,1.7384817502035044,0.0069782733917236,0.0017746490604197,0.9569101682374712,0.0057719599420754,0.865130670039123,7.0,full
optical_net,outer_1,greedy,4,0.005,1e-05,3,504,quantile,0,0.6153319428239166,0.0163141938370977,1.5208524569981523,0.0070021152496337,0.0014861005584373,0.9639163457871956,0.0068761985073656,0.8393287038244874,7.0,full
optical_net,outer_1,greedy,4,0.003,0.1,3,504,quantile,0,0.7712025246543818,0.0093368712402679,4.826571890000087,0.0066080093383789,0.0072468664509702,0.8240405592619194,0.0075356981448696,0.8239186394594847,6.0,full
optical_net,outer_1,greedy,4,0.003,0.01,3,504,quantile,0,0.8440125158428661,0.0063516010226497,3.212163121292108,0.0067174434661865,0.0043534121458932,0.8942958350790118,0.0036879483501983,0.9138263037316352,6.0,full
optical_net,outer_1,greedy,4,0.003,0.001,3,504,quantile,0,0.8966574763676293,0.0042362450624889,1.959307420499486,0.0070595741271972,0.0022032383678005,0.9465036931984628,0.0024439654413488,0.9428935777742522,7.0,full
optical_net,outer_1,greedy,4,0.003,0.0001,3,504,quantile,0,0.9012977512763352,0.0040663880962161,1.4369996077365856,0.0069859027862548,0.0016180274954868,0.9607130592055289,0.0057386311868264,0.8659094396310748,8.0,full
optical_net,outer_1,greedy,4,0.003,1e-05,3,504,quantile,0,0.6178953721325872,0.0162070782601022,1.2030348899444707,0.007002830505371,0.0011804818744254,0.971337000366891,0.0067762612916086,0.8416638664837168,9.0,full
optical_net,outer_1,greedy,4,0.001,0.1,3,504,quantile,0,0.7712025246543818,0.0093368712402679,4.577485804527079,0.0065987110137939,0.0072468664509702,0.8240405592619194,0.0075356981448696,0.8239186394594847,6.0,full
optical_net,outer_1,greedy,4,0.001,0.01,3,504,quantile,0,0.844964152929706,0.0063310154934659,2.922062963568405,0.0067241191864013,0.0041937629826905,0.8981722384405899,0.0038081698732069,0.9110171719258428,7.0,full
optical_net,outer_1,greedy,4,0.001,0.001,3,504,quantile,0,0.8950311617563361,0.0043038105360877,1.6523651800188055,0.0070528984069824,0.0020581795859929,0.9500258309794908,0.0024556653239928,0.942620194842171,9.0,full
optical_net,outer_1,greedy,4,0.001,0.0001,3,504,quantile,0,0.9016493573970712,0.0040525917414839,1.0645462919758648,0.007096529006958,0.0014745306897178,0.964197271017854,0.0056695342305544,0.8675239796293192,9.0,full
optical_net,outer_1,greedy,4,0.001,1e-05,3,504,quantile,0,0.618261374783394,0.0161927170129406,0.8294057617349582,0.0070230960845947,0.0011804818744254,0.971337000366891,0.0067762612916086,0.8416638664837168,9.0,full
optical_net,outer_1,greedy,4,0.0005,0.1,3,504,quantile,0,0.7712025246543818,0.0093368712402679,4.515214283158826,0.0066208839416503,0.0072468664509702,0.8240405592619194,0.0075356981448696,0.8239186394594847,6.0,full
optical_net,outer_1,greedy,4,0.0005,0.01,3,504,quantile,0,0.844964152929706,0.0063310154934659,2.849412855305444,0.0066950321197509,0.0041937629826905,0.8981722384405899,0.0038081698732069,0.9110171719258428,7.0,full
optical_net,outer_1,greedy,4,0.0005,0.001,3,504,quantile,0,0.8950311617563361,0.0043038105360877,1.5589578979664276,0.0070209503173828,0.0020581795859929,0.9500258309794908,0.0024556653239928,0.942620194842171,9.0,full
optical_net,outer_1,greedy,4,0.0005,0.0001,3,504,quantile,0,0.9016493573970712,0.0040525917414839,0.9711390099234866,0.0069835186004638,0.0014745306897178,0.964197271017854,0.0056695342305544,0.8675239796293192,9.0,full
optical_net,outer_1,greedy,4,0.0005,1e-05,3,504,quantile,0,0.618261374783394,0.0161927170129406,0.73599847968258,0.0069940090179443,0.0011804818744254,0.971337000366891,0.0067762612916086,0.8416638664837168,9.0,full
optical_net,outer_1,greedy,4,0.0001,0.1,3,504,quantile,0,0.7712025246543818,0.0093368712402679,4.465397066064225,0.0066075325012207,0.0072468664509702,0.8240405592619194,0.0075356981448696,0.8239186394594847,6.0,full
optical_net,outer_1,greedy,4,0.0001,0.01,3,504,quantile,0,0.844964152929706,0.0063310154934659,2.791292768695075,0.006723403930664,0.0041937629826905,0.8981722384405899,0.0038081698732069,0.9110171719258428,7.0,full
optical_net,outer_1,greedy,4,0.0001,0.001,3,504,quantile,0,0.8950311617563361,0.0043038105360877,1.484232072324525,0.0070569515228271,0.0020581795859929,0.9500258309794908,0.0024556653239928,0.942620194842171,9.0,full
optical_net,outer_1,greedy,4,0.0001,0.0001,3,504,quantile,0,0.9016493573970712,0.0040525917414839,0.8964131842815841,0.0069949626922607,0.0014745306897178,0.964197271017854,0.0056695342305544,0.8675239796293192,9.0,full
optical_net,outer_1,greedy,4,0.0001,1e-05,3,504,quantile,0,0.618261374783394,0.0161927170129406,0.6612726540406776,0.0070235729217529,0.0011804818744254,0.971337000366891,0.0067762612916086,0.8416638664837168,9.0,full
optical_net,outer_2,greedy,4,0.1,0.1,3,504,quantile,0,0.6798366202140662,0.0132645085951516,10.15481307363469,0.0050256252288818,0.0126152441108566,0.701619021436802,0.0116101840466852,0.6963618334077584,1.0,full
optical_net,outer_2,greedy,4,0.1,0.01,3,504,quantile,0,0.7334563631310161,0.0110254580735388,7.820060877216665,0.0029454231262207,0.0103627342776676,0.7548963169329503,0.0088044011118442,0.7697407551169411,1.0,full
optical_net,outer_2,greedy,4,0.1,0.001,3,504,quantile,0,0.7725209475700062,0.009294279938623,7.323102159725865,0.0022926330566406,0.0056677795166216,0.8659433314497175,0.0044094137385557,0.8846817330424699,2.0,full
optical_net,outer_2,greedy,4,0.1,0.0001,3,504,quantile,0,0.760048961469744,0.0098289457047198,7.119781208022789,0.0022952556610107,0.0056208458974088,0.8670534248498267,0.0043636340687154,0.8858789970101737,2.0,full
optical_net,outer_2,greedy,4,0.1,1e-05,3,504,quantile,0,0.7581749782977004,0.0099096580075597,7.096854473551899,0.0022542476654052,0.0056201444724766,0.8670700152428313,0.0043616810475352,0.8859300738723571,2.0,full
optical_net,outer_2,greedy,4,0.08,0.1,3,504,quantile,0,0.6957931407532357,0.0125723985283274,9.728640932066687,0.0065236091613769,0.0126152441108566,0.701619021436802,0.0116101840466852,0.6963618334077584,1.0,full
optical_net,outer_2,greedy,4,0.08,0.01,3,504,quantile,0,0.7574036193093502,0.0099801868498993,7.393888735648662,0.0042355060577392,0.0103627342776676,0.7548963169329503,0.0088044011118442,0.7697407551169411,1.0,full
optical_net,outer_2,greedy,4,0.08,0.001,3,504,quantile,0,0.7725209475700062,0.009294279938623,6.470757876589858,0.0037529468536376,0.0056677795166216,0.8659433314497175,0.0044094137385557,0.8846817330424699,2.0,full
optical_net,outer_2,greedy,4,0.08,0.0001,3,504,quantile,0,0.8189352607675419,0.007592057173349,6.267436924886782,0.002298355102539,0.0056208458974088,0.8670534248498267,0.0043636340687154,0.8858789970101737,2.0,full
optical_net,outer_2,greedy,4,0.08,1e-05,3,504,quantile,0,0.8172202161120653,0.0076667319471007,6.244510190415892,0.0022468566894531,0.0056201444724766,0.8670700152428313,0.0043616810475352,0.8859300738723571,2.0,full
optical_net,outer_2,greedy,4,0.05,0.1,3,504,quantile,0,0.7152790411689173,0.0118321960078253,8.473868117710074,0.0065157413482666,0.0108685673598487,0.7429321433724128,0.0113169222213199,0.7040314347359851,2.0,full
