dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
auto_mpg,outer_1,pilot,4,313.0,3,10.0,,,0.8002734080941757,11.96849213100718,0.0150244235992431,7.048738674433936,0.884613644170428,8.333167273854325,0.8589975160579978,4.0,full,10.0,9,32.0,64.0,
auto_mpg,outer_1,pilot,4,313.0,3,8.0,,,0.7994445035066521,12.017020507268873,0.0135285854339599,7.213577807565453,0.8819152625522899,8.811730424310792,0.8508999235436618,4.0,full,8.0,10,40.0,80.0,
auto_mpg,outer_1,pilot,4,313.0,3,6.0,,,0.8185360333970784,10.980211120004654,0.0127925872802734,7.213712448907757,0.8819130585020973,8.814240261921713,0.8508574554969035,4.0,full,6.0,11,53.0,106.0,
auto_mpg,outer_1,pilot,4,313.0,3,4.0,,,0.7586019434687835,14.301733956622405,0.0098998546600341,9.528350541283382,0.8440229242696797,8.108073055982583,0.8628062532161345,3.0,full,4.0,12,79.0,158.0,
auto_mpg,outer_1,pilot,4,313.0,3,2.0,,,-0.006500383538399,61.30849215273101,0.0081069469451904,10.266891035881477,0.8319331731467828,6.415955534087063,0.8914379566091107,2.0,full,2.0,13,156.0,312.0,
auto_mpg,outer_2,pilot,4,314.0,3,314.0,,,0.815242708759782,11.045130281488404,0.0232136249542236,6.5908219504548615,0.890142696086316,8.167874308137787,0.8719421224321692,6.0,full,314.0,0,1.0,2.0,
auto_mpg,outer_2,pilot,4,314.0,3,157.0,,,0.8156382879473855,11.018832452495124,0.0226795673370361,6.5908219504548615,0.890142696086316,8.167874308137787,0.8719421224321692,6.0,full,157.0,1,2.0,4.0,
auto_mpg,outer_2,pilot,4,314.0,3,78.0,,,0.8163883955200943,10.968965823279447,0.0213813781738281,6.865465775016859,0.8855648709941298,7.433044337477031,0.8834629616206828,5.0,full,78.0,2,5.0,10.0,
auto_mpg,outer_2,pilot,4,314.0,3,32.0,,,0.8166353043541114,10.954923538073054,0.0198132991790771,7.044309087858274,0.8825838703967167,8.178725780860933,0.8717719904598852,5.0,full,32.0,3,10.0,20.0,
auto_mpg,outer_2,pilot,4,314.0,3,24.0,,,0.8154764028147623,11.030007654758563,0.0187838077545166,7.044309087858274,0.8825838703967167,8.178725780860933,0.8717719904598852,5.0,full,24.0,4,14.0,28.0,
auto_mpg,outer_2,pilot,4,314.0,3,20.0,,,0.8154764028147623,11.030007654758563,0.0187659263610839,7.044309087858274,0.8825838703967167,8.178725780860933,0.8717719904598852,5.0,full,20.0,5,16.0,32.0,
auto_mpg,outer_2,pilot,4,314.0,3,16.0,,,0.8154764028147623,11.030007654758563,0.0181083679199218,7.318862307128562,0.8780075555339286,6.702311205130815,0.8949195696029479,5.0,full,16.0,6,20.0,40.0,
auto_mpg,outer_2,pilot,4,314.0,3,14.0,,,0.8106468946873937,11.304168907495589,0.0180518627166748,7.330561204714605,0.8778125556754548,6.788966455357625,0.8935609679637064,5.0,full,14.0,7,23.0,46.0,
auto_mpg,outer_2,pilot,4,314.0,3,12.0,,,0.8093796293148073,11.3884158272066,0.0170693397521972,7.330561204714605,0.8778125556754548,6.788966455357625,0.8935609679637064,5.0,full,12.0,8,27.0,54.0,
auto_mpg,outer_2,pilot,4,314.0,3,10.0,,,0.8097094505997241,11.370010225958096,0.0149071216583251,8.2283517313875,0.8628479810774832,7.420464147537244,0.8836601968329687,4.0,full,10.0,9,32.0,64.0,
auto_mpg,outer_2,pilot,4,314.0,3,8.0,,,0.8076353991799468,11.48800249129916,0.0125424861907958,11.33566559532698,0.8110545741136607,11.684709234940591,0.8168043473522949,4.0,full,8.0,10,40.0,80.0,
auto_mpg,outer_2,pilot,4,314.0,3,6.0,,,0.7440178762817221,15.747566807806146,0.0120384693145751,11.33566559532698,0.8110545741136607,11.684709234940591,0.8168043473522949,4.0,full,6.0,11,53.0,106.0,
auto_mpg,outer_2,pilot,4,314.0,3,4.0,,,0.7478076162570769,15.526005942453954,0.0081446170806884,9.808786437283311,0.8365049396318942,9.349485688391786,0.8534165379585485,2.0,full,4.0,12,79.0,158.0,
auto_mpg,outer_2,pilot,4,314.0,3,2.0,,,-0.0242123368596706,60.84061970707353,0.001939058303833,59.99439013753094,0.0,63.87400525688356,-0.0014318580788563,1.0,full,2.0,13,157.0,314.0,
auto_mpg,outer_3,pilot,4,314.0,3,314.0,,,0.818639412070433,10.661484274886009,0.0156002044677734,7.225415541068434,0.8780282597652723,12.483494180421072,0.8099307811520816,3.0,full,314.0,0,1.0,2.0,
auto_mpg,outer_3,pilot,4,314.0,3,157.0,,,0.8178396937309502,10.70712868256983,0.0293633937835693,7.225415541068434,0.8780282597652723,12.483494180421072,0.8099307811520816,3.0,full,157.0,1,2.0,4.0,
auto_mpg,outer_3,pilot,4,314.0,3,78.0,,,0.8230290702116165,10.405956959465357,0.0149333477020263,7.225415541068434,0.8780282597652723,12.483494180421072,0.8099307811520816,3.0,full,78.0,2,5.0,10.0,
auto_mpg,outer_3,pilot,4,314.0,3,32.0,,,0.8616118098936626,8.168999030102684,0.0133619308471679,7.526174703223775,0.872951165141286,12.622212268905558,0.8078187091362453,3.0,full,32.0,3,10.0,20.0,
auto_mpg,outer_3,pilot,4,314.0,3,24.0,,,0.8632094160046669,8.070310676569884,0.0132288932800292,7.526174703223775,0.872951165141286,12.622212268905558,0.8078187091362453,3.0,full,24.0,4,14.0,28.0,
auto_mpg,outer_3,pilot,4,314.0,3,20.0,,,0.8632094160046669,8.070310676569884,0.0129134654998779,7.526174703223775,0.872951165141286,12.622212268905558,0.8078187091362453,3.0,full,20.0,5,16.0,32.0,
auto_mpg,outer_3,pilot,4,314.0,3,16.0,,,0.8614967264688819,8.17610803753091,0.0124943256378173,7.561497330645797,0.8723548863097311,12.872904160338257,0.804001764033579,3.0,full,16.0,6,20.0,40.0,
auto_mpg,outer_3,pilot,4,314.0,3,14.0,,,0.8600533134614704,8.265271475369627,0.0121741294860839,7.561497330645797,0.8723548863097311,12.872904160338257,0.804001764033579,3.0,full,14.0,7,23.0,46.0,
auto_mpg,outer_3,pilot,4,314.0,3,12.0,,,0.860277091197991,8.251448132918442,0.0119023323059082,7.561497330645797,0.8723548863097311,12.872904160338257,0.804001764033579,3.0,full,12.0,8,27.0,54.0,
auto_mpg,outer_3,pilot,4,314.0,3,10.0,,,0.860277091197991,8.251448132918442,0.0113275051116943,7.601573616083726,0.871678361305844,12.881195489250675,0.8038755232241697,3.0,full,10.0,9,32.0,64.0,
auto_mpg,outer_3,pilot,4,314.0,3,8.0,,,0.8616128346793456,8.168935726381523,0.0109033584594726,7.6659613557027075,0.8705914363246482,12.88777119603762,0.8037754038638124,3.0,full,8.0,10,40.0,80.0,
auto_mpg,outer_3,pilot,4,314.0,3,6.0,,,0.842845214338359,9.26589256337841,0.0115237236022949,7.612978321075777,0.8714858392693137,12.837521442715047,0.8045404886408215,3.0,full,6.0,11,53.0,106.0,
auto_mpg,outer_3,pilot,4,314.0,3,4.0,,,0.7408287157063335,15.304568434560528,0.0065555572509765,9.028098087811935,0.8475973003183971,13.752754362498353,0.7906054794508509,2.0,full,4.0,12,79.0,158.0,
auto_mpg,outer_3,pilot,4,314.0,3,2.0,,,-0.0017201487601897,59.2928778929101,0.0018894672393798,59.23843938902187,0.0,67.20216244014685,-0.0231960968045883,1.0,full,2.0,13,157.0,314.0,
