dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
insurance,outer_0,pilot,4,20,3,12.0,,,0.699546732839086,43779984.64877265,0.0094947814941406,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,12.0,10,90.0,180.0,
insurance,outer_0,pilot,4,20,3,10.0,,,0.699546732839086,43779984.64877265,0.0095877647399902,23768533.128000297,0.8367284072164294,22995154.156988848,0.8468834897055286,2.0,10.0,11,107.0,214.0,
insurance,outer_0,pilot,4,20,3,8.0,,,0.699546732839086,43779984.64877265,0.0076391696929931,43538384.8098018,0.7009246890904612,46254094.67727199,0.6920105203268891,2.0,8.0,12,134.0,268.0,
insurance,outer_0,pilot,4,20,3,6.0,,,0.0954072009514487,131532397.67184138,0.0077593326568603,43538384.8098018,0.7009246890904612,46254094.67727199,0.6920105203268891,2.0,6.0,13,179.0,358.0,
insurance,outer_0,pilot,4,20,3,4.0,,,0.0954072009514487,131532397.67184138,0.0053968429565429,129813550.97729716,0.1082804681797486,127671983.93016244,0.1498779043489505,1.0,4.0,14,268.0,536.0,
insurance,outer_0,pilot,4,20,3,2.0,,,-0.0028272287343813,145804083.3399674,0.0020756721496582,145576659.8633441,0.0,150454891.07439756,-0.0018253289702323,1.0,2.0,15,535.0,1070.0,
insurance,outer_1,pilot,4,20,3,1070.0,,,0.828347589808578,23660905.413594108,0.0097825527191162,23463740.176657517,0.830395932258938,24488760.496514272,0.8631277065738256,2.0,1070.0,0,1.0,2.0,
insurance,outer_1,pilot,4,20,3,535.0,,,0.828347589808578,23660905.413594108,0.0093352794647216,23463740.17665751,0.8303959322589382,24488760.496514272,0.8631277065738256,2.0,535.0,1,2.0,4.0,
insurance,outer_1,pilot,4,20,3,267.0,,,0.828347589808578,23660905.413594108,0.0094528198242187,23463740.17665751,0.8303959322589382,24488760.496514272,0.8631277065738256,2.0,267.0,2,5.0,10.0,
insurance,outer_1,pilot,4,20,3,133.0,,,0.828347589808578,23660905.413594108,0.0094020366668701,23463740.176657517,0.830395932258938,24488760.496514272,0.8631277065738256,2.0,133.0,3,9.0,18.0,
insurance,outer_1,pilot,4,20,3,66.0,,,0.828347589808578,23660905.413594108,0.0097227096557617,23463740.17665751,0.8303959322589382,24488760.496514272,0.8631277065738256,2.0,66.0,4,17.0,34.0,
insurance,outer_1,pilot,4,20,3,32.0,,,0.828347589808578,23660905.413594108,0.0093336105346679,23463740.17665751,0.8303959322589382,24488760.496514272,0.8631277065738256,2.0,32.0,5,34.0,68.0,
insurance,outer_1,pilot,4,20,3,24.0,,,0.828347589808578,23660905.413594108,0.0093657970428466,23463740.17665751,0.8303959322589382,24488760.496514272,0.8631277065738256,2.0,24.0,6,45.0,90.0,
insurance,outer_1,pilot,4,20,3,20.0,,,0.828347589808578,23660905.413594108,0.00942063331604,23463740.17665751,0.8303959322589382,24488760.496514272,0.8631277065738256,2.0,20.0,7,54.0,108.0,
insurance,outer_1,pilot,4,20,3,16.0,,,0.7707425383647862,32122050.385106474,0.0093238353729248,23463740.176657517,0.830395932258938,24488760.496514272,0.8631277065738256,2.0,16.0,8,67.0,134.0,
insurance,outer_1,pilot,4,20,3,14.0,,,0.680529202266562,44129077.72136585,0.009211778640747,23463740.176657517,0.830395932258938,24488760.496514272,0.8631277065738256,2.0,14.0,9,77.0,154.0,
insurance,outer_1,pilot,4,20,3,12.0,,,0.680529202266562,44129077.72136585,0.0092675685882568,23463740.176657517,0.830395932258938,24488760.496514272,0.8631277065738256,2.0,12.0,10,90.0,180.0,
insurance,outer_1,pilot,4,20,3,10.0,,,0.680529202266562,44129077.72136585,0.009244680404663,23463740.17665751,0.8303959322589382,24488760.496514272,0.8631277065738256,2.0,10.0,11,107.0,214.0,
insurance,outer_1,pilot,4,20,3,8.0,,,0.4916566349035128,71871057.52256118,0.0072298049926757,43709518.82896537,0.6840524086704614,46193214.9208997,0.7418174240443213,2.0,8.0,12,134.0,268.0,
insurance,outer_1,pilot,4,20,3,6.0,,,0.1110181637234479,122862643.8021574,0.0072014331817626,43709518.828965366,0.6840524086704615,46193214.9208997,0.7418174240443213,2.0,6.0,13,179.0,358.0,
insurance,outer_1,pilot,4,20,3,4.0,,,0.1110181637234479,122862643.8021574,0.0050690174102783,122348945.1350768,0.1156193078126275,157547316.80342016,0.1194383816570228,1.0,4.0,14,268.0,536.0,
insurance,outer_1,pilot,4,20,3,2.0,,,-0.0034313945006755,138607861.4145962,0.0019989013671875,138344206.53448063,0.0,179365732.3975472,-0.0025088513080204,1.0,2.0,15,535.0,1070.0,
insurance,outer_2,pilot,4,20,3,1070.0,,,0.8321161706781467,24538876.97802071,0.0099256038665771,24376142.81813535,0.8333348207938299,20504716.549981687,0.8610637150569447,2.0,1070.0,0,1.0,2.0,
insurance,outer_2,pilot,4,20,3,535.0,,,0.8321161706781467,24538876.97802071,0.0096158981323242,24376142.81813535,0.8333348207938299,20504716.549981687,0.8610637150569447,2.0,535.0,1,2.0,4.0,
insurance,outer_2,pilot,4,20,3,267.0,,,0.8321161706781467,24538876.97802071,0.0095613002777099,24376142.81813535,0.8333348207938299,20504716.549981687,0.8610637150569447,2.0,267.0,2,5.0,10.0,
insurance,outer_2,pilot,4,20,3,133.0,,,0.8321161706781467,24538876.97802071,0.0097377300262451,24376142.81813535,0.8333348207938299,20504716.549981687,0.8610637150569447,2.0,133.0,3,9.0,18.0,
insurance,outer_2,pilot,4,20,3,66.0,,,0.8321161706781467,24538876.97802071,0.0095796585083007,24376142.81813535,0.8333348207938299,20504716.549981687,0.8610637150569447,2.0,66.0,4,17.0,34.0,
insurance,outer_2,pilot,4,20,3,32.0,,,0.8321161706781467,24538876.97802071,0.0096471309661865,24376142.81813535,0.8333348207938299,20504716.549981687,0.8610637150569447,2.0,32.0,5,34.0,68.0,
insurance,outer_2,pilot,4,20,3,24.0,,,0.8321161706781467,24538876.97802071,0.0095577239990234,24376142.81813535,0.8333348207938299,20504716.549981687,0.8610637150569447,2.0,24.0,6,45.0,90.0,
insurance,outer_2,pilot,4,20,3,20.0,,,0.8321161706781467,24538876.97802071,0.0093359947204589,24376142.81813535,0.8333348207938299,20504716.549981687,0.8610637150569447,2.0,20.0,7,54.0,108.0,
