dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
insurance,outer_0,claritree,4,0.0001,0.1,3,1070.0,quantile,0,0.8457545228379276,22565454.379179504,20375381082.13773,4.935164213180542,18614087.12734114,0.8721354979238116,20661422.26760308,0.8624229760001692,16.0,full
insurance,outer_0,claritree,4,0.0001,0.01,3,1070.0,quantile,0,0.8448459105333829,22694947.246074647,19513403623.53412,4.883351564407349,17314979.8792103,0.8810593683392363,20762439.43601507,0.8617503387914129,16.0,full
insurance,outer_0,claritree,4,0.0001,0.001,3,1070.0,quantile,0,0.8287396425698615,25067251.540424585,18538416068.14943,4.868899583816528,16833723.03376419,0.8843652337567962,21690219.740378976,0.8555725814450476,16.0,full
insurance,outer_0,claritree,4,0.0001,0.0001,3,1070.0,quantile,0,0.83097942840539,24669028.131023254,17856051843.414494,4.870286464691162,16367347.916154152,0.8875688731179948,29337276.17334756,0.8046535666366527,16.0,full
insurance,outer_0,claritree,4,0.0001,1e-05,3,1070.0,quantile,0,0.8150412893486231,27034467.09310243,17751616470.917904,4.931847333908081,16342615.648845945,0.887738764825439,30238977.713873133,0.7986494584549964,16.0,full
insurance,outer_1,claritree,4,0.1,0.1,3,1070.0,quantile,0,0.8105648733952079,26146339.60831265,62781807143.51088,2.0159616470336914,25532737.100657027,0.8154405035075083,26556818.504036613,0.8515689409732459,2.0,full
insurance,outer_1,claritree,4,0.1,0.01,3,1070.0,quantile,0,0.8254952702766799,24068788.718520764,55762361667.03327,1.918773889541626,23467629.94015742,0.8303678156966523,24505802.008220498,0.8630324583561377,2.0,full
insurance,outer_1,claritree,4,0.1,0.001,3,1070.0,quantile,0,0.8257788600933428,24028977.75178024,54786409855.23437,1.888844966888428,23428369.80688381,0.8306516015830083,24501470.57598598,0.8630566675464657,2.0,full
insurance,outer_1,claritree,4,0.1,0.0001,3,1070.0,quantile,0,0.8257815510778456,24028571.62463039,54684883889.1294,1.899598836898804,23427945.418875694,0.8306546692070075,24505181.4530288,0.863035926755949,2.0,full
insurance,outer_1,claritree,4,0.1,1e-05,3,1070.0,quantile,0,0.8257815398322341,24028570.07229958,54674690260.94405,1.9095802307128904,23427941.14107265,0.8306547001284545,24505597.6429002,0.8630336005923929,2.0,full
insurance,outer_1,claritree,4,0.08,0.1,3,1070.0,quantile,0,0.8105648733952079,26146339.60831265,56860675103.83511,2.8277602195739746,25532737.100657027,0.8154405035075083,26556818.504036613,0.8515689409732459,2.0,full
insurance,outer_1,claritree,4,0.08,0.01,3,1070.0,quantile,0,0.8254952702766799,24068788.718520764,49841229627.35751,2.524407386779785,23467629.94015742,0.8303678156966523,24505802.008220498,0.8630324583561377,2.0,full
insurance,outer_1,claritree,4,0.08,0.001,3,1070.0,quantile,0,0.8257788600933428,24028977.75178024,48865277815.5586,2.190303325653076,23428369.80688381,0.8306516015830083,24501470.57598598,0.8630566675464657,2.0,full
insurance,outer_1,claritree,4,0.08,0.0001,3,1070.0,quantile,0,0.8257815510778456,24028571.62463039,48763751849.45363,2.158779621124268,23427945.418875694,0.8306546692070075,24505181.4530288,0.863035926755949,2.0,full
insurance,outer_1,claritree,4,0.08,1e-05,3,1070.0,quantile,0,0.8257815398322341,24028570.07229958,48753558221.26829,2.15552306175232,23427941.14107265,0.8306547001284545,24505597.6429002,0.8630336005923929,2.0,full
insurance,outer_1,claritree,4,0.05,0.1,3,1070.0,quantile,0,0.8429291106943211,21656359.75361677,46552971076.86148,3.561394214630127,20834680.262329757,0.8493996909286046,19974503.150165997,0.8883587408762189,3.0,full
insurance,outer_1,claritree,4,0.05,0.01,3,1070.0,quantile,0,0.8254952702766799,24068788.718520764,40959531567.84385,3.2781567573547363,23467629.94015742,0.8303678156966523,24505802.008220498,0.8630324583561377,2.0,full
insurance,outer_1,claritree,4,0.05,0.001,3,1070.0,quantile,0,0.8257788600933428,24028977.75178024,39983579756.04495,3.217148303985596,23428369.80688381,0.8306516015830083,24501470.57598598,0.8630566675464657,2.0,full
insurance,outer_1,claritree,4,0.05,0.0001,3,1070.0,quantile,0,0.8257815510778456,24028571.62463039,39882053789.93997,3.23957633972168,23427945.418875694,0.8306546692070075,24505181.4530288,0.863035926755949,2.0,full
insurance,outer_1,claritree,4,0.05,1e-05,3,1070.0,quantile,0,0.8257815398322341,24028570.07229958,39871860161.75463,3.2455766201019287,23427941.14107265,0.8306547001284545,24505597.6429002,0.8630336005923929,2.0,full
insurance,outer_1,claritree,4,0.03,0.1,3,1070.0,quantile,0,0.8429291106943211,21656359.75361677,37671273017.347824,4.086285829544067,20834680.262329757,0.8493996909286046,19974503.150165997,0.8883587408762189,3.0,full
insurance,outer_1,claritree,4,0.03,0.01,3,1070.0,quantile,0,0.8400778610474108,22130491.179108363,34923807740.57675,4.019278526306152,19711765.401091795,0.8575165097630679,18623904.52001598,0.8959074909255811,3.0,full
insurance,outer_1,claritree,4,0.03,0.001,3,1070.0,quantile,0,0.8323780237410264,23108070.73042016,34062447716.36918,3.934616327285767,23428369.80688381,0.8306516015830083,24501470.57598598,0.8630566675464657,2.0,full
insurance,outer_1,claritree,4,0.03,0.0001,3,1070.0,quantile,0,0.8324165656065244,23102661.646866605,33960921750.26421,3.9895057678222656,23427945.418875694,0.8306546692070075,24505181.4530288,0.863035926755949,2.0,full
insurance,outer_1,claritree,4,0.03,1e-05,3,1070.0,quantile,0,0.8324200808687152,23102167.9737203,33950728122.078865,4.014840602874756,23427941.14107265,0.8306547001284545,24505597.6429002,0.8630336005923929,2.0,full
insurance,outer_1,claritree,4,0.01,0.1,3,1070.0,quantile,0,0.8429291106943211,21656359.75361677,28789574957.83417,4.680215835571289,20834680.262329757,0.8493996909286046,19974503.150165997,0.8883587408762189,3.0,full
insurance,outer_1,claritree,4,0.01,0.01,3,1070.0,quantile,0,0.8515827700073645,20440627.18012897,26042109681.06309,4.395640134811401,19711765.401091795,0.8575165097630679,18623904.52001598,0.8959074909255811,3.0,full
