dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
auction,outer_2,pilot,4,1634.0,3,8.0,,,0.4273721417636984,59711519.09189702,0.0132529735565185,15119153.57903604,0.8558836981722038,14376727.28659377,0.8778761301511782,5.0,full,8.0,13,205.0,410.0,
auction,outer_2,pilot,4,1634.0,3,6.0,,,0.3273615008649126,70335041.41451769,0.0092322826385498,58998325.840816446,0.4376258902482901,63978090.99706583,0.4565347243257813,4.0,full,6.0,14,273.0,546.0,
auction,outer_2,pilot,4,1634.0,3,4.0,,,0.3201023724429916,71089693.74844716,0.0070514678955078,69854400.0125776,0.3341454107476498,74547599.74811545,0.3667514735658659,3.0,full,4.0,15,409.0,818.0,
auction,outer_2,pilot,4,1634.0,3,2.0,,,-0.0016735909224706,105016463.75392498,0.0019819736480712,104909391.84036124,0.0,118481815.76105408,-0.0064500465935493,1.0,full,2.0,16,817.0,1634.0,
auction,outer_3,pilot,4,1635.0,3,1635.0,,,0.892093783089265,11594994.135902872,0.0430610179901123,11457805.62158936,0.8932664123729189,13487140.786570044,0.8754397437314607,13.0,full,1635.0,0,1.0,2.0,
auction,outer_3,pilot,4,1635.0,3,817.0,,,0.892093783089265,11594994.135902872,0.0432536602020263,11457805.62158936,0.8932664123729189,13487140.786570044,0.8754397437314607,13.0,full,817.0,1,3.0,6.0,
auction,outer_3,pilot,4,1635.0,3,408.0,,,0.8922523493930893,11578145.911349138,0.0431594848632812,11457805.62158936,0.8932664123729189,13487140.786570044,0.8754397437314607,13.0,full,408.0,2,5.0,10.0,
auction,outer_3,pilot,4,1635.0,3,204.0,,,0.8912168405667122,11688172.347063487,0.0388035774230957,11457805.62158936,0.8932664123729189,13487140.786570044,0.8754397437314607,13.0,full,204.0,3,9.0,18.0,
auction,outer_3,pilot,4,1635.0,3,102.0,,,0.8920089291263184,11603940.60684137,0.0393598079681396,11458709.179596957,0.893257995404525,13487749.267016264,0.8754341241207875,13.0,full,102.0,4,17.0,34.0,
auction,outer_3,pilot,4,1635.0,3,64.0,,,0.8957001914426698,11215888.494820578,0.0409457683563232,11459603.582112862,0.893249663722835,13489181.823091406,0.8754208937738471,13.0,full,64.0,5,26.0,52.0,
auction,outer_3,pilot,4,1635.0,3,32.0,,,0.8858047896170351,12267462.52995688,0.0442397594451904,9937298.374246284,0.9074304852226198,10572599.664343154,0.9023569380304388,13.0,full,32.0,6,52.0,104.0,
auction,outer_3,pilot,4,1635.0,3,24.0,,,0.8848801313882316,12366552.56207908,0.0374023914337158,11707568.58221992,0.890939780404732,13248481.304915518,0.8776438792607202,12.0,full,24.0,7,69.0,138.0,
auction,outer_3,pilot,4,1635.0,3,20.0,,,0.8636789629515252,14623710.17421561,0.0375330448150634,11707568.58221992,0.890939780404732,13248481.304915518,0.8776438792607202,12.0,full,20.0,8,82.0,164.0,
auction,outer_3,pilot,4,1635.0,3,16.0,,,0.8531352115600764,15771629.488180406,0.0340027809143066,11934325.049377624,0.8888274622125137,13885665.359531494,0.8717591769068882,11.0,full,16.0,9,103.0,206.0,
auction,outer_3,pilot,4,1635.0,3,14.0,,,0.8524816004418705,15843036.024517274,0.0328648090362548,12238711.4893309,0.8859919928535265,13889092.281650284,0.8717275276267269,11.0,full,14.0,10,117.0,234.0,
auction,outer_3,pilot,4,1635.0,3,12.0,,,0.8511973960933176,15978846.029992577,0.0237360000610351,15656452.604917971,0.8541545029453508,13299816.242351135,0.8771697763308481,7.0,full,12.0,11,137.0,274.0,
auction,outer_3,pilot,4,1635.0,3,10.0,,,0.7735031287099497,24370530.24811108,0.0238595008850097,15656452.604917971,0.8541545029453508,13299816.242351135,0.8771697763308481,7.0,full,10.0,12,164.0,328.0,
auction,outer_3,pilot,4,1635.0,3,8.0,,,0.4273541989141884,61454204.53903844,0.0202875137329101,15516036.547507435,0.8554625291122144,12767912.440081667,0.8820821647287559,5.0,full,8.0,13,205.0,410.0,
auction,outer_3,pilot,4,1635.0,3,6.0,,,0.337169715244169,71094104.4396698,0.0133333206176757,61130256.26928871,0.4305496375422898,55525372.93148301,0.4871963753326672,4.0,full,6.0,14,273.0,546.0,
auction,outer_3,pilot,4,1635.0,3,4.0,,,0.3300417107745551,71860590.4418248,0.0100338459014892,70935268.49272545,0.3392124159225693,70040356.14445406,0.3531434980511054,3.0,full,4.0,15,409.0,818.0,
auction,outer_3,pilot,4,1635.0,3,2.0,,,-0.0010401810004091,107412542.16674618,0.0085794925689697,86866278.89338948,0.1908093140770216,89634846.19128983,0.1721789229563194,1.0,full,2.0,16,817.0,1634.0,
auction,outer_4,pilot,4,1635.0,3,1635.0,,,0.8867703652221349,12232212.105884816,0.0309951305389404,11420451.86902998,0.8942718238755724,9746003.249593489,0.9079412987636468,16.0,full,1635.0,0,1.0,2.0,
auction,outer_4,pilot,4,1635.0,3,817.0,,,0.8867703651812224,12232212.11055188,0.0290207862854003,11420451.883239154,0.8942718237440268,9746003.264968324,0.9079412986184192,15.0,full,817.0,1,3.0,6.0,
auction,outer_4,pilot,4,1635.0,3,408.0,,,0.8911488016794092,11736785.468654295,0.029144287109375,11420451.883239154,0.8942718237440268,9746003.264968324,0.9079412986184192,15.0,full,408.0,2,5.0,10.0,
auction,outer_4,pilot,4,1635.0,3,204.0,,,0.8895939297127491,11905643.223841349,0.0261449813842773,11669774.161079898,0.8919636497763421,9972659.161085064,0.9058003545934992,13.0,full,204.0,3,9.0,18.0,
auction,outer_4,pilot,4,1635.0,3,102.0,,,0.8855876656645209,12363411.845449848,0.0262296199798584,11669774.161079898,0.8919636497763421,9972659.161085064,0.9058003545934992,13.0,full,102.0,4,17.0,34.0,
