dataset,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_r2,test_r2,train_mse,test_mse,loss,train_time_s,n_leaves,outer,n_outer_merged,cost_complexity,ridge_penalty,lasso_penalty,pilot_grid_index,pilot_target_complexity,pilot_min_sample_leaf,pilot_min_sample_split,threshold_label
yacht,greedy,4,0.03,0.1,3,20,quantile,0.0,0.0033539494781981496,2.5146243338097385,0.0010235459472778723,0.009065004931118923,0.7096189388864895,4.3061328120359725,442.50343459735456,2.5550530573576692e-05,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.05,1e-05,3,20,quantile,0.0,0.002576796064922607,0.7638687953074541,0.001181155866740891,0.004403111047671494,0.386264572362795,1.7897061413141682,362.22326453961745,4.77551878302379e-06,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.05,0.0001,3,20,quantile,0.0,0.0025592109533464406,0.7626704785131607,0.0011805377397661977,0.004436942979155133,0.38618160877556695,1.8021125677402967,362.5462263568013,2.332703753311288e-05,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.05,0.001,3,20,quantile,0.0,0.0023771030077384832,0.7528121418178001,0.0011233959024784708,0.004932345543455473,0.3781104570092913,1.9796316613755036,367.9505032369147,2.64673618068673e-05,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.05,0.01,3,20,quantile,0.0,0.0043085515682770815,1.3147545917349832,0.009584073571982198,0.009999061654059907,2.7910701236500968,2.916893456464723,381.7860207795488,9.096848310139281e-06,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.05,0.1,3,20,quantile,0.0,0.0033539494781981496,2.5146243338097385,0.002748068226520497,0.009777480930774973,0.6069197630264384,3.902386784027941,438.349453249061,2.2601150743053855e-05,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.08,1e-05,3,20,quantile,0.0,0.002576796064922607,0.7638687953074541,0.001181155866740891,0.004403111047671494,0.386264572362795,1.7897061413141682,524.1701059402378,2.7551533813338426e-05,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.08,0.0001,3,20,quantile,0.0,0.0025592109533464406,0.7626704785131607,0.0011805377397661977,0.004436942979155133,0.38618160877556695,1.8021125677402967,524.4835707029587,2.2336779991007093e-05,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.08,0.001,3,20,quantile,0.0,0.0023771030077384832,0.7528121418178001,0.0011233959024784708,0.004932345543455473,0.3781104570092913,1.9796316613755036,529.7042564287877,1.8953902162763506e-06,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.08,0.01,3,20,quantile,0.0,0.0043085515682770815,1.3147545917349832,0.009584073571982198,0.009999061654059907,2.7910701236500968,2.916893456464723,542.2176800228764,1.432695311313689e-05,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.08,0.1,3,20,quantile,0.0,0.0033539494781981496,2.5146243338097385,0.002748068226520497,0.009777480930774973,0.6069197630264384,3.902386784027941,598.2780083816299,4.970898729496126e-06,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.1,1e-05,3,20,quantile,0.0,0.002576796064922607,0.7638687953074541,0.001181155866740891,0.004403111047671494,0.386264572362795,1.7897061413141682,632.248038926477,5.705631076553683e-06,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.1,0.0001,3,20,quantile,0.0,0.0025592109533464406,0.7626704785131607,0.0011805377397661977,0.004436942979155133,0.38618160877556695,1.8021125677402967,632.5578187842108,4.578009232623802e-06,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.1,0.001,3,20,quantile,0.0,0.0023771030077384832,0.7528121418178001,0.0011233959024784708,0.004932345543455473,0.3781104570092913,1.9796316613755036,637.7069561715857,2.7005574683733204e-06,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.1,0.01,3,20,quantile,0.0,0.0043085515682770815,1.3147545917349832,0.009584073571982198,0.009999061654059907,2.7910701236500968,2.916893456464723,649.7003325742307,3.7900305996044133e-06,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.1,0.1,3,20,quantile,0.0,0.0033539494781981496,2.5146243338097385,0.002748068226520497,0.009777480930774973,0.6069197630264384,3.902386784027941,705.5104594919338,1.5419619074748394e-05,0.0,std,5,,,,,,,,20
yacht,greedy,4,0.0001,0.0001,3,20,quantile,0.0,0.985519750325256,3.3145439662179244,0.9967902241237547,0.9956485563707757,0.739169522536038,1.0627287308437587,350.19687031928885,0.00163640975952144,5.0,best_by_mean_val_r2,5,,,,,,,,20
california_housing,greedy,4,0.0001,1e-05,3,20,quantile,0.0,0.7237776955082862,3679288119.768566,0.7388607292304306,0.7284828925760465,3479366257.7863283,3614193336.4889045,57347102044897.625,0.3015235424041748,16.0,mean,5,,,,,,,,20
california_housing,greedy,4,0.0001,0.0001,3,20,quantile,0.0,0.7261177478798116,3648150208.878852,0.7393741375704608,0.7298552652758404,3472466773.1470933,3595981425.9312515,57921838555279.77,0.30135316848754884,15.8,mean,5,,,,,,,,20
california_housing,greedy,4,0.0001,0.001,3,20,quantile,0.0,0.7232172838118693,3686656017.7122335,0.7306365474239165,0.7231340815079157,3588957274.3353615,3685912670.152709,61305377399809.266,0.29738712310791016,15.8,mean,5,,,,,,,,20
california_housing,greedy,4,0.0001,0.01,3,20,quantile,0.0,0.6989187624526745,4010649591.2820253,0.7088215908214265,0.703773111582645,3879596664.353967,3943756365.9046288,69533038038260.42,0.28584723472595214,16.0,mean,5,,,,,,,,20
california_housing,greedy,4,0.0001,0.1,3,20,quantile,0.0,0.6292391455569171,4939501109.216788,0.6337435760688293,0.6286888209424843,4879951455.88814,4942708995.931555,86284811952701.38,0.3004214286804199,13.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.0005,1e-05,3,20,quantile,0.0,0.7238976465517253,3677674245.0356584,0.7385360421698914,0.7287149296017013,3483689454.625798,3611012935.8188295,58719505675638.0,0.3049031734466553,15.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.0005,0.0001,3,20,quantile,0.0,0.7260961186863032,3648431148.6005907,0.7392273742054873,0.7299201044869484,3474424002.1290016,3595097253.645766,59282204477374.69,0.30246601104736326,15.4,mean,5,,,,,,,,20
california_housing,greedy,4,0.0005,0.001,3,20,quantile,0.0,0.7227955798570505,3692240449.086019,0.7297204863239298,0.7221028917602853,3601115266.6297684,3699852783.992327,62627923644212.914,0.29994854927062986,14.0,mean,5,,,,,,,,20
